artist,track,album,tags,duration_ms
Travis Scott,Pray 4 Love (feat. The Weeknd),Rodeo (Deluxe),pop rap|synthpop|The Weeknd,307000
Lynn Anderson,I've Been Everywhere,The Best Of The Johnny Cash TV Show,country|female vocalists|70s,137000
Travis Scott,I Can Tell,Rodeo (expanded edition),Hip-Hop|trap|rap,235000
Anita Bryant,My Little Corner of the World,The Very Best Of,60s|pop|oldies,156000
Jody Miller,There's a Party Goin' On,Anthology,country|70s|female vocalist,157000
Joni James,You Are My Love,Platinum & Gold: The Mgm Years,jazz|jazz vocal|50s,161000
Travis Scott,Pornography,Rodeo (expanded edition),Hip-Hop|trap|rap,231000
Lynn Anderson,Keep Me in Mind,16 Biggest Hits,country|female vocalists|70s,177000
Jeannie C. Riley,Country Girl,Good Old Country,country|female vocalists|60s,157000
Joni James,How Important Can It Be,Dedicated to You!,jazz|jazz vocal|50s,154000
Ke$ha,Last Goodbye,Warrior (Deluxe Version),pop|dance|electropop,0
Joni James,Why Don't You Believe Me,Dedicated to You!,jazz|jazz vocal|50s,175000
Scandal,DOLL,Scandal,J-rock|japanese|j-pop,312000
Hi-Five,After The Club,The Return,rnb|90s|soul,297000
Ronnie Milsap,Show Her,The Essential Ronnie Milsap,country|classic country|Ronnie Milsap,224000
L.T.D.,Burnin' hot,Love magic,soul|funk|Disco,0
The Contours,Heaven Sent,Under Love's Control,soul|motown|rhythm and blues,259000
Juice Newton,Hurt,Anthology,country|female vocalists|80s,212000
Dino,Wait,Wait,pop|House|kurdish,158000
Sleep Token,The Apparition,Take Me Back to Eden,alternative metal|alternative pop|trap,268000
Sleep Token,Ascensionism,Take Me Back to Eden,Progressive metal|alternative metal|DJENT,428000
Flo Rida,Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell),Confessions (feat. HEESEUNG & JAKE of ENHYPEN x Paul Russell),Hip-Hop|rap|hip hop,158000
Sleep Token,Euclid,Take Me Back to Eden,Progressive metal|alternative metal|DJENT,313000
Tony Toni Tone,Oakland Stroke,The Revival,soul|rnb|new jack swing,279000
Gracie Abrams,Right Now,Good Riddance,pop|indie pop|my top songs,370000
Ronnie Milsap,Where Do the Nights Go,The Essential Ronnie Milsap,country|classic country|Ronnie Milsap,272000
Ronnie Milsap,How Do I Turn You On,The Essential Ronnie Milsap,country|classic country|Ronnie Milsap,285000
En Vogue,With My Honey,The Gift of Christmas,rnb|soul|90s,226000
Cameo,Promiscuous,Machismo,funk|80s|soul,270000
Silk,Superstar,Tonight,rnb|soul|silk,279000
The Marvelettes,Barefootin',The Marvelettes,soul|motown|60s,138000
David Archuleta,Zero Gravity,Fan Pack - EP,pop|American Idol|male vocalists,206000
Ke$ha,Supernatural,Warrior (Deluxe Version),pop|dance|electropop,0
Eddie Rabbitt,The Best Year Of My Life,Number One Hits,country|80s|pop,192000
Ke$ha,Out Alive,Warrior (Deluxe Version),pop|dance|electropop,0
BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST),THE GIRLS (BLACKPINK THE GAME OST) - Single,k-pop|Kpop|pop,162000
Annie Lennox,Loneliness,Bare,pop|female vocalists|80s,241000
The Miracles,Determination,The 35th Anniversary Collection,soul|motown|60s,139000
5 Seconds Of Summer,Bad Omens,5SOS5,australian|pop rock|linedance 2022,290000
AJR,Inertia,The Maybe Man,indie pop|pop|indie,220000
David Cook,Fade Into Me,This Loud Morning,rock|alternative rock|American Idol,246000
Eve,Ghost Avenue,Ghost Avenue,Hip-Hop|rap|female vocalists,0
Kelly Clarkson,What Doesn't Kill You (Stronger),Stronger,pop|female vocalists|pop rock,0
Gracie Abrams,Full machine,Good Riddance,pop|indie pop|my top songs,255000
Demi Lovato,SKIN OF MY TEETH,SKIN OF MY TEETH,pop|pop rock|female vocalists,162000
Kylie Minogue,Timebomb,Timebomb,pop|dance|female vocalists,177000
Zayn,Too Much (feat. Timbaland),,pop|rnb|british,187000
Christina Aguilera,Lift Me Up,Bionic,pop|female vocalists|soul,247000
Gracie Abrams,This Is What The Drugs Are For,Good Riddance,pop|indie pop|my top songs,245000
5 Seconds Of Summer,BLENDER,5SOS5,pop punk|pop rock|pop,147000
Skeeter Davis,Gonna Get Along Without Ya Now,Highlight On Lady Rock,60s|country|female vocalists,0
Scandal,Shoujo S,Shoujo S,J-rock|japanese|j-pop,191000
Tate McRae,think later,THINK LATER,pop|my top songs|Canadian,133000
Zayn,Sour Diesel,Sour Diesel,pop|rnb|british,241000
Fantasia,The Thrill Is Gone,,rnb|soul|female vocalists,218000
The Kid LAROI,WHAT JUST HAPPENED,THE FIRST TIME,Hip-Hop|rap|emo rap,161000
Scandal,LOVE SURVIVE,Scandal,J-rock|japanese|j-pop,222000
5 Seconds Of Summer,No Shame,CALM,pop punk|pop rock|pop,192000
The Kid LAROI,NOT FAIR (feat. Corbin),F*CK LOVE,Hip-Hop|rap|emo rap,166000
Skeeter Davis,Optimistic,The Essential Skeeter Davis,60s|country|female vocalists,121000
Selena Gomez,Vulnerable,Rare,pop|female vocalists|Disney,192000
Noah Kahan,No Complaints,Stick Season (We'll All Be Here Forever),indie|folk|singer-songwriter,205000
Eve,Insomnia,Insomnia,Hip-Hop|rap|female vocalists,204000
Dino,ICARUS,"CASTAWAY DIVA (Original Soundtrack), Pt. 3 - Single",pop|House|kurdish,211000
Jade,FUFN (Fuck You For Now),FUFN (Fuck You For Now),Drum and bass|neurofunk|rnb,215000
Leona Lewis,Glassheart,Glassheart,pop|female vocalists|rnb,236000
Fuerza Regida,Ch y la Pizza,Ch y la Pizza,Corridos tumbados|mexico|corridos,136000
Kylie Minogue,Tension,Tension (Deluxe),pop|dance|female vocalists,216000
Christina Aguilera,Vanity,Bionic,pop|female vocalists|soul,262000
Camila Cabello,B.O.A.T.,"C,XOXO (Target Exclusive)",pop|female vocalists|cuba,176000
The Kid LAROI,I THOUGHT THAT I NEEDED YOU,,Hip-Hop|rap|emo rap,171000
Leona Lewis,I See You,Avatar Music From The Motion Picture Music Composed And Conducted By James Horner,pop|female vocalists|rnb,225000
Tate McRae,messier,THINK LATER,pop|my top songs|Canadian,237000
Camila Cabello,Dade County Dreaming (feat. JT & Yung Miami),"C,XOXO (Target Exclusive)",pop|female vocalists|cuba,159000
Camila Cabello,June Gloom,"C,XOXO (Target Exclusive)",pop|female vocalists|cuba,180000
AJR,Maybe Man,The Maybe Man,indie pop|pop|indie,220000
Noah Kahan,"Your Needs, My Needs",Stick Season (We'll All Be Here Forever),indie|folk|singer-songwriter,207000
Kylie Minogue,Say Something,Magic,pop|dance|female vocalists,212000
Christina Aguilera,Desnudate,Bionic,pop|female vocalists|soul,265000
Dua Lipa,New Love,Dua Lipa (Deluxe),pop|synthpop|electropop,271000
AJR,The DJ Is Crying For Help,The DJ Is Crying For Help,indie pop|pop|indie,219000
After 7,Sprung On It,Reflections,rnb|90s|soul,0
Jade,IT girl,IT girl,Drum and bass|neurofunk|rnb,153000
Eve,Kororon,Bokurano - EP,Hip-Hop|rap|female vocalists,235000
Lynn Anderson,I Never Promised You a Rose Garden,Rosey Lynn Anderson - [The Dave Cash Collection],country|female vocalists|70s,155000
Tate McRae,calgary,THINK LATER,pop|my top songs|Canadian,140000
Iggy Azalea,Change Your Life,The New Classic,Hip-Hop|rap|pop,222000
Demi Lovato,Fast,Fast,pop|pop rock|female vocalists,181000
Polo G,Chosen 1,Die A Legend,rap|Hip-Hop|trap,127000
YoungBoy Never Broke Again,House Arrest Tingz,Top,rap|trap|Hip-Hop,180000
Demi Lovato,SUBSTANCE,SUBSTANCE,pop|pop rock|female vocalists,160000
Halsey,Lonely Is the Muse,Lonely Is The Muse,pop|indie pop|indie,240000
Jade,Plastic Box,Plastic Box,Drum and bass|neurofunk|rnb,201000
Sting,What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),,rock|pop|classic rock,213000
Martha & The Vandellas,Something,Motown Meets The Beatles,soul|motown|60s,168000
