artist,track,playcount,listeners
"""Weird Al"" Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",706389,160318
"""Weird Al"" Yankovic",Eat It,478923,121975
"""Weird Al"" Yankovic",Hardware Store,723488,102619
"""Weird Al"" Yankovic","White & Nerdy (Parody Of ""Ridin'"" By Chamillionaire Feat. Krayzie Bone)",444009,95753
"""Weird Al"" Yankovic",Polka Face,568299,93816
"""Weird Al"" Yankovic",Smells Like Nirvana,363345,92958
"""Weird Al"" Yankovic",Fat,363473,92395
"""Weird Al"" Yankovic",Angry White Boy Polka,386757,85171
"""Weird Al"" Yankovic","Party In The CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",368182,76859
"""Weird Al"" Yankovic",Word Crimes,387667,73146
"""Weird Al"" Yankovic","The Saga Begins (Lyrical Adaption of ""American Pie"")",342036,72837
"""Weird Al"" Yankovic",Now That's What I Call Polka!,405851,70270
"""Weird Al"" Yankovic",Yoda,277592,66393
"""Weird Al"" Yankovic",Virus Alert,431199,66007
"""Weird Al"" Yankovic",The Alternative Polka,356071,65970
"""Weird Al"" Yankovic",Dare to Be Stupid,431129,65736
"""Weird Al"" Yankovic",Amish Paradise,299898,64632
"""Weird Al"" Yankovic",White & Nerdy,410791,62293
"""Weird Al"" Yankovic",Like a Surgeon,320979,61528
"""Weird Al"" Yankovic",Foil,279900,61302
"""Weird Al"" Yankovic",Albuquerque,290199,61086
"""Weird Al"" Yankovic",Another One Rides the Bus,213863,59050
"""Weird Al"" Yankovic",Polkarama!,349416,57872
"""Weird Al"" Yankovic",The Night Santa Went Crazy,209108,57350
"""Weird Al"" Yankovic",Couch Potato,159284,54582
"""Weird Al"" Yankovic","Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)",249063,53881
"""Weird Al"" Yankovic",A Complicated Song,165874,53532
"""Weird Al"" Yankovic",Everything You Know Is Wrong,301197,53357
"""Weird Al"" Yankovic",Don't Download This Song,269740,52680
"""Weird Al"" Yankovic",Polka Power!,242330,52580
"""Weird Al"" Yankovic",My Bologna,199203,51764
"""Weird Al"" Yankovic",Your Horoscope for Today,264373,51186
"""Weird Al"" Yankovic","Canadian Idiot (Parody of ""American Idiot"" By Green Day)",194843,46889
"""Weird Al"" Yankovic",Captain Underpants Theme Song,315602,46446
"""Weird Al"" Yankovic",Handy,185770,46319
"""Weird Al"" Yankovic",Tacky,211500,45819
"""Weird Al"" Yankovic",I'll Sue Ya,200043,45679
"""Weird Al"" Yankovic",Bohemian Polka,171250,44261
"""Weird Al"" Yankovic",Canadian Idiot,194452,41455
"""Weird Al"" Yankovic",White And Nerdy,473910,40829
"""Weird Al"" Yankovic",Weasel Stomping Day,168966,39815
"""Weird Al"" Yankovic",Pancreas,173056,39556
"""Weird Al"" Yankovic",I Lost On Jeopardy,175793,39044
"""Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" By Chamillionaire featuring Krayzie Bone)",208602,39037
"""Weird Al"" Yankovic",I Love Rocky Road,151824,38595
"""Weird Al"" Yankovic",Close But No Cigar,182318,38169
"""Weird Al"" Yankovic",Polkamania!,243226,37904
"""Weird Al"" Yankovic",The Hamilton Polka,213599,37897
"""Weird Al"" Yankovic",Since You've Been Gone,151533,36881
"""Weird Al"" Yankovic",Jurassic Park,158022,36683
$uicideboy$,"...And To Those I Love, Thanks For Sticking Around",13220486,748035
$uicideboy$,KILL YOURSELF (Part III),13482522,600731
$uicideboy$,PARIS,9208139,550202
$uicideboy$,ANTARCTICA,10921272,528016
$uicideboy$,Runnin' Thru the 7th with My Woadies,7814902,421246
$uicideboy$,1000 Blunts,9008059,409528
$uicideboy$,FOR THE LAST TIME,7001813,397639
$uicideboy$,My Flaws Burn Through My Skin Like Demonic Flames from Hell,7983739,394298
$uicideboy$,Avalon,7726232,352406
$uicideboy$,2ND HAND,4861690,313356
$uicideboy$,Matte Black,6471156,306838
$uicideboy$,That Just isn't Empirically Possible,5046059,278947
$uicideboy$,$outh $ide $uicide,4017862,274262
$uicideboy$,CLYDE (I Hope At Least One of My Ex-Girlfriends Hears This),5342351,266357
$uicideboy$,"NEW CHAINS, SAME SHACKLES",4953636,261681
$uicideboy$,"All That Glitters Is Not Gold, But It's Still Damn Beautiful",4074527,251174
$uicideboy$,O PANA!,3846045,244881
$uicideboy$,Harvest Moon,3432018,244385
$uicideboy$,Mount Sinai,3526187,233614
$uicideboy$,Carrollton,3758263,230390
$uicideboy$,Champion Of Death,3081110,226279
$uicideboy$,Memoirs of a Gorilla,3419309,223966
$uicideboy$,The Thin Grey Line,3344220,222445
$uicideboy$,Ugliest,3979749,220042
$uicideboy$,COMA,3500382,219266
$uicideboy$,Putrid Pride,3408200,219031
$uicideboy$,LTE,3162795,219020
$uicideboy$,What The Fuck Is Happening,3030316,216329
$uicideboy$,Not Even Ghosts Are This Empty,4160906,210016
$uicideboy$,AUDUBON,2939920,204799
$uicideboy$,Kill Yourself (Part IV),3126260,202831
$uicideboy$,DEAD BATTERIES,2371650,196539
$uicideboy$,All Dogs Go To Heaven,2446169,192183
$uicideboy$,Genesis,2909769,188394
$uicideboy$,"Are You Going to See the Rose in the Vase, or the Dust on the Table",3432455,187981
$uicideboy$,Thorns,2388432,185941
$uicideboy$,122 DAYS,2902367,185312
$uicideboy$,Us vs. Them,3084124,184934
$uicideboy$,GLOSS OF BLOOD,2228470,184118
$uicideboy$,VENOM,2206731,177796
$uicideboy$,NOW I'M UP TO MY NECK WITH OFFERS,2811325,177335
$uicideboy$,Fucking Your Culture,3324883,176960
$uicideboy$,The Number You Have Dialed Is Not in Service,3031487,172861
$uicideboy$,Diemonds,2750374,172855
$uicideboy$,Magazine,2206832,168744
$uicideboy$,"If Self-Destruction Was an Olympic Event, I’d Be Tonya Harding",2483410,166272
$uicideboy$,5 Grand at 8 to 1,2687677,163484
$uicideboy$,Materialism as a Means to an End,2749043,161894
$uicideboy$,FUCKTHEPOPULATION,2118656,160512
$uicideboy$,HARD TO TELL,2139522,152138
'N Sync,Bye Bye Bye,7117778,1111637
'N Sync,It's Gonna Be Me,3844166,573949
'N Sync,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,3124638,451514
'N Sync,"Merry Christmas, Happy Holidays",1202782,376504
'N Sync,Tearin' Up My Heart - Radio Edit,1633687,257920
'N Sync,This I Promise You,1154381,211591
'N Sync,Pop,975570,188026
'N Sync,I Want You Back - Radio Edit,1197494,184101
'N Sync,Girlfriend,557458,135908
'N Sync,Better Place (From TROLLS Band Together),981906,127499
'N Sync,Gone,683366,125172
'N Sync,It Makes Me Ill,474088,79648
'N Sync,Tearin' Up My Heart,434743,69355
'N Sync,No Strings Attached,385484,68316
'N Sync,I Want You Back,378419,63513
'N Sync,Just Got Paid,248284,60524
'N Sync,Digital Get Down,226574,51833
'N Sync,Better Place (Reunion),254463,49744
'N Sync,I Thought She Knew,199933,42245
'N Sync,That's When I'll Stop Loving You,150097,38209
'N Sync,Bringin' Da Noise,160682,37291
'N Sync,I'll Be Good for You,134570,34622
'N Sync,Celebrity,142125,32014
'N Sync,Crazy for You,143863,31700
'N Sync,Selfish,180075,31334
'N Sync,The Game Is Over,157764,30993
'N Sync,The Two of Us,162492,30512
'N Sync,Home for Christmas,80145,30403
'N Sync,Sailing,149495,29258
'N Sync,Just Don't Tell Me That,170625,28670
'N Sync,You Got It,133917,28408
'N Sync,(God Must Have Spent) A Little More Time On You - Remix,114803,28265
'N Sync,I Don't Wanna Spend One More Christmas Without You,69939,27417
'N Sync,Up Against the Wall,135181,27381
'N Sync,I Just Wanna Be With You,114017,26496
'N Sync,I Drive Myself Crazy,150166,26371
'N Sync,I'll Never Stop,157342,26107
'N Sync,Thinking of You (I Drive Myself Crazy),150975,25922
'N Sync,See Right Through You,128705,25642
'N Sync,Kiss Me at Midnight,69809,23561
'N Sync,God Must Have Spent a Little More Time on You,117175,23410
'N Sync,I Need Love,87973,23169
'N Sync,Thinking Of You (I Drive Myself Crazy) - Remix,107939,23080
'N Sync,"Tell Me, Tell Me...Baby",137572,22979
'N Sync,"Space Cowboy (Yippie-Yi-Yay) (feat. Lisa ""Left Eye"" Lopes)",126487,22919
'N Sync,Here We Go,88816,22649
'N Sync,Everything I Own,87375,22500
'N Sync,The First Noel,64590,22449
'N Sync,Giddy Up,79720,21428
'N Sync,Here We Go - Radio Cut,107970,21370
'Til Tuesday,Voices Carry,1027029,197037
'Til Tuesday,What About Love,92403,25672
'Til Tuesday,Coming Up Close,93328,23700
'Til Tuesday,Voices Carry - Single Mix,97989,23055
'Til Tuesday,Love in a Vacuum,66427,18749
'Til Tuesday,Winning the War,55496,12495
'Til Tuesday,I Could Get Used to This,46959,11137
'Til Tuesday,You Know The Rest,37357,11016
'Til Tuesday,(Believed You Were) Lucky,30429,9556
'Til Tuesday,Voices Carry (Single Mix),42227,9525
'Til Tuesday,No More Crying,31806,9405
'Til Tuesday,Don't Watch Me Bleed,33976,9102
'Til Tuesday,The Other End (Of The Telescope),28588,9006
'Til Tuesday,Looking Over My Shoulder,30094,8576
'Til Tuesday,On Sunday,27686,8310
'Til Tuesday,Will She Just Fall Down,20938,6789
'Til Tuesday,Are You Serious?,23015,6345
'Til Tuesday,Maybe Monday,22038,6184
'Til Tuesday,David Denies,20688,5859
'Til Tuesday,Sleep,16952,5511
'Til Tuesday,No One Is Watching You Now,16114,5151
'Til Tuesday,Everything's Different Now,18106,5068
'Til Tuesday,Long Gone (Buddy),16471,4951
'Til Tuesday,Why Must I,19272,4658
'Til Tuesday,Rip In Heaven,17264,4348
'Til Tuesday,Limits To Love,13636,3663
'Til Tuesday,J For Jules,14167,3535
'Til Tuesday,Lovers' Day,12350,3214
'Til Tuesday,Crash And Burn,12431,3146
'Til Tuesday,Angels Never Call,11529,3087
'Til Tuesday,Sleeping And Waking,10647,3078
'Til Tuesday,Have Mercy,10483,2956
'Til Tuesday,Long Gone Buddy,8088,2385
'Til Tuesday,How Can You Give Up,4318,1262
'Til Tuesday,How Can You Give Up?,4509,1144
'Til Tuesday,Looking Over My Shoulder - Single Mix,3109,1055
'Til Tuesday,Love In a Vacuum - Single Mix,2885,953
'Til Tuesday,'J' for Jules,3184,690
'Til Tuesday,Do It Again,2664,658
'Til Tuesday,Do It Again - Previously Unreleased,1709,546
'Til Tuesday,Are You Serious,1774,474
'Til Tuesday,Do It Again (Previously Unreleased),635,472
'Til Tuesday,"""J"" For Jules",1884,381
'Til Tuesday,Wasted,690,342
'Til Tuesday,Looking Over My Shoulder (Single Mix),1010,289
'Til Tuesday,Love In A Vacuum (Single Mix),931,249
'Til Tuesday,Some Dreams,364,240
'Til Tuesday,Now Or Never,307,225
'Til Tuesday,Voices Carry (1985),1143,221
'Til Tuesday,Mine,235,162
"10,000 Maniacs",Like the Weather,397342,111985
"10,000 Maniacs",These Are Days,523846,111541
"10,000 Maniacs",Hey Jack Kerouac,304422,94611
"10,000 Maniacs",Don't Talk,239037,78034
"10,000 Maniacs",Trouble Me,290350,61654
"10,000 Maniacs",Candy Everybody Wants,245580,58158
"10,000 Maniacs",Because the Night - Live Unplugged,207183,53615
"10,000 Maniacs",Because the Night,307907,52816
"10,000 Maniacs",Verdi Cries,150091,51343
"10,000 Maniacs",More Than This,194907,50782
"10,000 Maniacs",What's the Matter Here?,148994,35873
"10,000 Maniacs",Because The Night [MTV Unplugged Version],100266,35587
"10,000 Maniacs",Cherry Tree,91003,34891
"10,000 Maniacs",The Painted Desert,88291,33845
"10,000 Maniacs",Noah's Dove,138592,32213
"10,000 Maniacs",A Campfire Song,84870,32148
"10,000 Maniacs",City of Angels,73527,29836
"10,000 Maniacs",Gun Shy,75206,29692
"10,000 Maniacs",Eat For Two,123818,28069
"10,000 Maniacs",Jezebel,113097,26102
"10,000 Maniacs",My Sister Rose,65815,25839
"10,000 Maniacs",Stockton Gala Days,114490,25823
"10,000 Maniacs",Gold Rush Brides,92737,23151
"10,000 Maniacs",I'm Not the Man,93313,23119
"10,000 Maniacs",Eden,71911,17532
"10,000 Maniacs",Peace Train,61715,15891
"10,000 Maniacs",Few and Far Between,58679,15546
"10,000 Maniacs",My Mother the War,45776,15260
"10,000 Maniacs",Tension,32274,14805
"10,000 Maniacs",Planned Obsolescence,35332,14793
"10,000 Maniacs",How You've Grown,53183,14320
"10,000 Maniacs",What's The Matter Here,35334,13793
"10,000 Maniacs",Because The Night - MTV Unplugged Version,35234,13315
"10,000 Maniacs",Circle Dream,43097,12337
"10,000 Maniacs",If You Intend,42071,11900
"10,000 Maniacs",Tolerance,38546,11575
"10,000 Maniacs",You Happy Puppet,43813,11223
"10,000 Maniacs",Grey Victory,29693,10694
"10,000 Maniacs",Scorpio Rising,32999,10632
