artist,track,debut_decade,release_year,release_decade,mb_score,matched
Frank Sinatra,Somethin' Stupid,1950s,1973,1970s,100,1
Johnny Cash,Hurt,1950s,2002,2000s,100,1
Anita Bryant,My Little Corner of the World,1950s,1960,1960s,100,1
The Miracles,Determination,1950s,1961,1960s,100,1
Joni James,How Important Can It Be,1950s,1953,1950s,100,1
Joni James,Why Don't You Believe Me,1950s,1953,1950s,100,1
Joni James,Have You Heard,1950s,1953,1950s,100,1
Connie Francis,Robot Man,1950s,1960,1960s,100,1
Joni James,You Are My Love,1950s,1953,1950s,100,1
Joni James,Your Cheatin' Heart,1950s,1953,1950s,100,1
Connie Francis,Someone Else's Boy,1950s,1961,1960s,100,1
The Intruders,Come home soon,1950s,2002,2000s,100,1
Eddy Arnold,The Cattle Call,1950s,1955,1950s,100,1
Connie Francis,I Will Wait for You,1950s,1966,1960s,100,1
Connie Francis,Carolina Moon,1950s,1958,1950s,100,1
Elvis Presley,Love Me,1950s,1957,1950s,100,1
Connie Francis,Who's Sorry Now?,1950s,1957,1950s,100,1
Elvis Presley,The Wonder Of You,1950s,1970,1970s,100,1
Johnny Cash,God's Gonna Cut You Down,1950s,2006,2000s,100,1
Marty Robbins,Doggone Cowboy,1950s,1963,1960s,100,1
Connie Francis,Everybody's Somebopdy's Fool,1950s,,,0,0
Jerry Vale,Spanish Eyes,1950s,2004,2000s,100,1
Steve Lawrence,Bewitched,1950s,2005,2000s,100,1
Paul Anka,Put Your Head on My Shoulder (Remastered),1950s,,,0,0
The Browns,The Three Bells (Les Trois Cloches),1950s,1974,1970s,100,1
The Isley Brothers,"Footsteps in the Dark, Pts. 1 & 2",1950s,,,0,0
Steve Lawrence,I've gotta be me,1950s,2021,2020s,100,1
Dean Martin,"My Rifle, My Pony And Me - Remastered",1950s,2011,2010s,100,1
Connie Francis,I'm Sorry I Made You Cry,1950s,1960,1960s,100,1
The Fleetwoods,Stay With Me,1950s,,,0,0
Johnny Cash,Solitary Man,1950s,2000,2000s,100,1
The Coasters,Down in Mexico,1950s,1956,1950s,100,1
Nina Simone,Feeling Good,1950s,1965,1960s,100,1
Johnny Cash,The Man Comes Around,1950s,2002,2000s,100,1
Marty Robbins,The Master's Call,1950s,1959,1950s,100,1
Marty Robbins,Saddle Tramp,1950s,1960,1960s,100,1
The Fleetwoods,Waking Up Alone,1950s,,,0,0
Perry Como,Killing Me Softly With Her Song,1950s,1973,1970s,100,1
Dion & The Belmonts,Run Around Sue,1950s,,,0,0
Led Zeppelin,Stairway to Heaven,1960s,1972,1970s,100,1
The Beatles,In My Life,1960s,1965,1960s,100,1
The Beatles,Here Comes the Sun,1960s,1969,1960s,100,1
The Beatles,Blackbird,1960s,1968,1960s,100,1
The Beatles,While My Guitar Gently Weeps,1960s,1968,1960s,100,1
Creedence Clearwater Revival,Have You Ever Seen the Rain,1960s,1970,1970s,100,1
Engelbert Humperdinck,A Man Without Love,1960s,1968,1960s,100,1
Bob Dylan,"Don't Think Twice, It's All Right",1960s,1963,1960s,100,1
The Rolling Stones,Gimme Shelter,1960s,1977,1970s,100,1
Skeeter Davis,Optimistic,1960s,1965,1960s,100,1
Buffalo Springfield,For What It's Worth,1960s,1966,1960s,100,1
Dion,Reunited,1960s,,,0,0
Cher,Woman's World,1960s,2013,2010s,100,1
Buck Owens,Made in Japan,1960s,1974,1970s,100,1
Martha & The Vandellas,Something,1960s,1991,1990s,100,1
Martha Reeves & The Vandellas,Something,1960s,1970,1970s,100,1
Jose Feliciano,"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",1960s,,,0,0
Led Zeppelin,Ramble On,1960s,1969,1960s,100,1
The Contours,Heaven Sent,1960s,2006,2000s,100,1
Dion,Words,1960s,2021,2020s,100,1
The Marvelettes,Barefootin',1960s,1967,1960s,100,1
The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,1960s,,,0,0
Led Zeppelin,Going to California,1960s,1980,1980s,100,1
Marvin Gaye,Ain't No Mountain High Enough,1960s,1996,1990s,100,1
Jeannie C. Riley,Country Girl,1960s,1970,1970s,100,1
Lulu,piu piu,1960s,2019,2010s,100,1
Dion,Still,1960s,2020,2020s,100,1
Dion,Grove Stepper,1960s,,,0,0
The Beatles,Across the Universe,1960s,1969,1960s,100,1
Joan Baez,It Ain't Me Babe,1960s,1964,1960s,100,1
Led Zeppelin,Tangerine,1960s,1970,1970s,100,1
